"CWNS_ID","FACILITY_ID","STATE_CODE","NEED_REASON"
"01000305001",1102129,AL,The project(s) will prevent unregulated water quality or human health impacts.
"01000305001",1102129,AL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"05000585001",1105385,AR,The project(s) is required to maintain compliance with a NPDES permit.
"05000585001",1105385,AR,The project(s) will prevent unregulated water quality or human health impacts.
"05000585001",1105385,AR,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"17000074001",1113363,IL,The project(s) is required to maintain compliance with a NPDES permit.
"17000074001",1113363,IL,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"17000074001",1113363,IL,The project(s) will prevent unregulated water quality or human health impacts.
"24070075001",3093738,MD,The project(s) will prevent unregulated water quality or human health impacts.
"34050909102",3383971,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34091200101",3390850,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34092001101",3392513,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34092001101",3392513,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"54003904001",3395578,WV,The project(s) is to achieve or maintain compliance with a TMDL.
"12000700030",3500400,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000701010",3501022,FL,The project(s) will prevent unregulated water quality or human health impacts.
"29003781002",1134017,MO,The project(s) is necessary to obtain compliance with a new permit requirement.
"29003781002",1134017,MO,The project(s) is to achieve or maintain compliance with a TMDL.
"21000225002",1139656,KY,The project(s) will prevent unregulated water quality or human health impacts.
"21000257001",1139682,KY,The project(s) will prevent unregulated water quality or human health impacts.
"31001541001",1145966,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31001541001",1145966,NE,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"31001541001",1145966,NE,The project(s) will prevent unregulated water quality or human health impacts.
"31001541001",1145966,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"31001703001",1145983,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31001703001",1145983,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"31002605001",1146080,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31002605001",1146080,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"27000076001",1147959,MN,The project(s) is required to maintain compliance with a NPDES permit.
"27000250001",1148104,MN,The project(s) is required to maintain compliance with a NPDES permit.
"27000333001",1148155,MN,The project(s) is required to maintain compliance with a NPDES permit.
"38000137001",1151384,ND,The project(s) is required to maintain compliance with a NPDES permit.
"66000001002",1143950,GU,The project(s) is required to maintain compliance with a NPDES permit.
"38000276001",1151516,ND,The project(s) is required to maintain compliance with a NPDES permit.
"29002057001",1133664,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"29002191001",1133722,MO,The project(s) is required to maintain compliance with a NPDES permit.
"29002191001",1133722,MO,The project(s) is to achieve or maintain compliance with a TMDL.
"29002418001",1133838,MO,The project(s) is necessary to obtain compliance with a new permit requirement.
"29002418001",1133838,MO,The project(s) is to achieve or maintain compliance with a TMDL.
"29003160001",1133926,MO,The project(s) is necessary to obtain compliance with a new permit requirement.
"29003160001",1133926,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"29004059001",1134076,MO,The project(s) is necessary to obtain compliance with a new permit requirement.
"29004059001",1134076,MO,The project(s) is to achieve or maintain compliance with a TMDL.
"29004149001",1134161,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"21000290001",1139708,KY,The project(s) will prevent unregulated water quality or human health impacts.
"21000376003",1139766,KY,The project(s) will prevent unregulated water quality or human health impacts.
"23000105001",1142544,ME,The project(s) is required to maintain compliance with a NPDES permit.
"23000105001",1142544,ME,The project(s) will prevent unregulated water quality or human health impacts.
"27000295001",1148127,MN,The project(s) is required to maintain compliance with a NPDES permit.
"27003314001",1148285,MN,The project(s) is required to maintain compliance with a NPDES permit.
"12000044001",1078159,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000256001",1078388,FL,The project(s) will prevent unregulated water quality or human health impacts.
"39000252001",1080669,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39000576001",1080821,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39000576001",1080821,OH,The project(s) will prevent unregulated water quality or human health impacts.
"39008639001",1081656,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39008639001",1081656,OH,The project(s) will prevent unregulated water quality or human health impacts.
"39009170001",1081720,OH,The project(s) is required to maintain compliance with a NPDES permit.
"26000715001",1088623,MI,The project(s) will prevent unregulated water quality or human health impacts.
"50000035001",1094085,VT,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"50000035001",1094085,VT,The project(s) will prevent unregulated water quality or human health impacts.
"54000301001",1094709,WV,The project(s) will prevent unregulated water quality or human health impacts.
"54000301001",1094709,WV,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54000701001",1094751,WV,The project(s) will prevent unregulated water quality or human health impacts.
"54001017001",1094775,WV,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54001592002",1094835,WV,The project(s) will prevent unregulated water quality or human health impacts.
"54002591001",1094994,WV,The project(s) is to achieve or maintain compliance with a TMDL.
"54002591001",1094994,WV,The project(s) will prevent unregulated water quality or human health impacts.
"01000029001",1101858,AL,The project(s) is required to maintain compliance with a NPDES permit.
"01000029001",1101858,AL,The project(s) will prevent unregulated water quality or human health impacts.
"01000029001",1101858,AL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"51000257011",1192881,VA,The project(s) is required to maintain compliance with a NPDES permit.
"25000410001",487351,MA,The project(s) will prevent unregulated water quality or human health impacts.
"25000410001",487351,MA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"08000113001",1066914,CO,The project(s) is required to maintain compliance with a NPDES permit.
"08000113001",1066914,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"08000500016",1067161,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"08000500048",1067185,CO,The project(s) is required to maintain compliance with a NPDES permit.
"08000500048",1067185,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"39000010001",1080432,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39000118002",1080541,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39000985001",1080854,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39005943001",1081328,OH,The project(s) will prevent unregulated water quality or human health impacts.
"12000700055",3500467,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000700064",3500481,FL,The project(s) will prevent unregulated water quality or human health impacts.
"53200802013",3506120,WA,The project(s) is required to maintain compliance with a NPDES permit.
"53200802013",3506120,WA,The project(s) will prevent unregulated water quality or human health impacts.
"54005410001",3511576,WV,The project(s) is to achieve or maintain compliance with a TMDL.
"54005410001",3511576,WV,The project(s) will prevent unregulated water quality or human health impacts.
"19001622001",3516162,IA,The project(s) will prevent unregulated water quality or human health impacts.
"34002501022",3521718,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"27044000207",425401,MN,The project(s) is required to maintain compliance with a NPDES permit.
"34001680011",442379,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34001680011",442379,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34001680011",442379,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34002514011",442561,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34002514011",442561,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34002506011",442598,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34002506011",442598,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34002506011",442598,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"16000071201",452839,ID,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"16000071201",452839,ID,The project(s) will prevent unregulated water quality or human health impacts.
"08000050001",1066854,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"08000406001",1067151,CO,The project(s) is required to maintain compliance with a NPDES permit.
"08000406001",1067151,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"55004140001",1206592,WI,The project(s) is required to maintain compliance with a NPDES permit.
"55004500001",1206636,WI,The project(s) is necessary to obtain compliance with a new permit requirement.
"55004924002",1206679,WI,The project(s) is required to maintain compliance with a NPDES permit.
"55004924002",1206679,WI,The project(s) is necessary to obtain compliance with a new permit requirement.
"55004924002",1206679,WI,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"55004924002",1206679,WI,The project(s) is to achieve or maintain compliance with a TMDL.
"04001342001",1069471,AZ,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"04001342001",1069471,AZ,The project(s) will prevent unregulated water quality or human health impacts.
"09000700001",1071855,CT,The project(s) is to achieve or maintain compliance with a TMDL.
"09000700001",1071855,CT,The project(s) will prevent unregulated water quality or human health impacts.
"09000800001",1071870,CT,The project(s) is required to maintain compliance with a NPDES permit.
"34001457001",1073491,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34002409001",1073572,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34003250001",1073648,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"39005138001",1081262,OH,The project(s) is required to maintain compliance with a NPDES permit.
"39005419006",1081286,OH,The project(s) is required to maintain compliance with a NPDES permit.
"55009531001",1206872,WI,The project(s) is required to maintain compliance with a NPDES permit.
"55009620001",1206897,WI,The project(s) is required to maintain compliance with a NPDES permit.
"36006007001",1220937,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36008201002",1221316,NY,The project(s) is required to maintain compliance with a NPDES permit.
"31000045001",1230166,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31000045001",1230166,NE,The project(s) will prevent unregulated water quality or human health impacts.
"31000045001",1230166,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"27000301001",1231506,MN,The project(s) is required to maintain compliance with a NPDES permit.
"41000085001",1238051,OR,The project(s) is required to maintain compliance with a NPDES permit.
"34001223021",2839520,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001113021",2864960,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001245001",1073382,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34001245001",1073382,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001472001",1073496,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34003486001",1073661,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"22003383001",1168555,LA,The project(s) is required to maintain compliance with a NPDES permit.
"49000054001",1170409,UT,The project(s) is required to maintain compliance with a NPDES permit.
"49000054001",1170409,UT,The project(s) will prevent unregulated water quality or human health impacts.
"40000186001",1172574,OK,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"40000776001",1172863,OK,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"06003044001",1175412,CA,The project(s) is required to maintain compliance with a NPDES permit.
"06005233001",1175721,CA,The project(s) is required to maintain compliance with a NPDES permit.
"06005239001",1175726,CA,The project(s) is required to maintain compliance with a NPDES permit.
"06008002001",1175946,CA,The project(s) will prevent unregulated water quality or human health impacts.
"53002530001",1181081,WA,The project(s) is required to maintain compliance with a NPDES permit.
"53002595001",1181093,WA,The project(s) is required to maintain compliance with a NPDES permit.
"53002595001",1181093,WA,The project(s) is necessary to obtain compliance with a new permit requirement.
"53002595001",1181093,WA,The project(s) will prevent unregulated water quality or human health impacts.
"53200400009",378574,WA,The project(s) will prevent unregulated water quality or human health impacts.
"34006131011",442344,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34004029011",442475,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34004029011",442475,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001380011",442753,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34001380011",442753,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34003494011",442805,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34003494011",442805,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34003494011",442805,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001448011",442822,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34001448011",442822,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34001448011",442822,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34005201011",444182,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34005201011",444182,NJ,The project(s) is necessary to obtain compliance with a new permit requirement.
"34005201011",444182,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"47000275001",1166015,TN,The project(s) will prevent unregulated water quality or human health impacts.
"17002040001",3500020,IL,The project(s) will prevent unregulated water quality or human health impacts.
"17002040001",3500020,IL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"12000700021",3500386,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000701061",3501107,FL,The project(s) will prevent unregulated water quality or human health impacts.
"53200802019",3506220,WA,The project(s) is required to maintain compliance with a NPDES permit.
"53200802095",3507411,WA,The project(s) is required to maintain compliance with a NPDES permit.
"06000203200",3509698,CA,The project(s) is required to maintain compliance with a NPDES permit.
"12000098002",2996488,FL,The project(s) will prevent unregulated water quality or human health impacts.
"04002801005",3121869,AZ,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"04002801005",3121869,AZ,The project(s) will prevent unregulated water quality or human health impacts.
"12000032001",3228468,FL,The project(s) is required to maintain compliance with a NPDES permit.
"12000032001",3228468,FL,The project(s) is to achieve or maintain compliance with a TMDL.
"12000032001",3228468,FL,The project(s) will prevent unregulated water quality or human health impacts.
"08209000087",3500239,CO,The project(s) is required to maintain compliance with a NPDES permit.
"08209000087",3500239,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"12000701036",3501060,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000701060",3501106,FL,The project(s) will prevent unregulated water quality or human health impacts.
"09001120001",1071907,CT,The project(s) is to achieve or maintain compliance with a TMDL.
"09001120001",1071907,CT,The project(s) will prevent unregulated water quality or human health impacts.
"09001480001",1071953,CT,The project(s) is required to maintain compliance with a NPDES permit.
"09001480001",1071953,CT,The project(s) will prevent unregulated water quality or human health impacts.
"34001349001",1073437,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34001349001",1073437,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34001397001",1073463,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34007021001",1073856,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34007021001",1073856,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34007291001",1073886,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"29001019009",3522576,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"01000188003",1102020,AL,The project(s) is required to maintain compliance with a NPDES permit.
"01000188003",1102020,AL,The project(s) will prevent unregulated water quality or human health impacts.
"01000188003",1102020,AL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"13000126001",1109128,GA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"17000035001",1113326,IL,The project(s) is required to maintain compliance with a NPDES permit.
"17000035001",1113326,IL,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"17000035001",1113326,IL,The project(s) will prevent unregulated water quality or human health impacts.
"18001493001",1120248,IN,The project(s) is required to maintain compliance with a NPDES permit.
"16000012001",1128559,ID,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"16000028001",1128575,ID,The project(s) will prevent unregulated water quality or human health impacts.
"16000028001",1128575,ID,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"16000057001",1128606,ID,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"55002060001",1206278,WI,The project(s) is required to maintain compliance with a NPDES permit.
"55003140001",1206451,WI,The project(s) is required to maintain compliance with a NPDES permit.
"36003016001",1220350,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36003121001",1220565,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36004038002",1220738,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36009082002",1221409,NY,The project(s) is required to maintain compliance with a NPDES permit.
"55004730001",1229243,WI,The project(s) is required to maintain compliance with a NPDES permit.
"36005054001",1232134,NY,The project(s) is required to maintain compliance with a NPDES permit.
"36009130001",1232194,NY,The project(s) is required to maintain compliance with a NPDES permit.
"17000170001",1232699,IL,The project(s) is required to maintain compliance with a NPDES permit.
"17000170001",1232699,IL,The project(s) will prevent unregulated water quality or human health impacts.
"29002464001",1233260,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"26000516001",1088570,MI,The project(s) will prevent unregulated water quality or human health impacts.
"13000778001",1109602,GA,The project(s) will prevent unregulated water quality or human health impacts.
"13000778001",1109602,GA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"17000673001",1113941,IL,The project(s) is necessary to obtain compliance with a new permit requirement.
"17005713001",1114250,IL,The project(s) is required to maintain compliance with a NPDES permit.
"18000005001",1120060,IN,The project(s) is required to maintain compliance with a NPDES permit.
"18000016001",1120069,IN,The project(s) is required to maintain compliance with a NPDES permit.
"13000800009",3522933,GA,The project(s) will prevent unregulated water quality or human health impacts.
"13000800009",3522933,GA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"39002813010",3529517,OH,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"26007003007",3539057,MI,The project(s) will prevent unregulated water quality or human health impacts.
"26007003030",3539166,MI,The project(s) will prevent unregulated water quality or human health impacts.
"01201200004",3540156,AL,The project(s) will prevent unregulated water quality or human health impacts.
"01201200004",3540156,AL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"51000010203",3541856,VA,The project(s) will prevent unregulated water quality or human health impacts.
"51000010113",3542041,VA,The project(s) will prevent unregulated water quality or human health impacts.
"33000274001",3542438,NH,The project(s) will prevent unregulated water quality or human health impacts.
"08000037001",1066840,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"08000216001",1067008,CO,The project(s) is required to maintain compliance with a NPDES permit.
"08000216001",1067008,CO,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"09000591001",1071836,CT,The project(s) is required to maintain compliance with a NPDES permit.
"09000591001",1071836,CT,The project(s) will prevent unregulated water quality or human health impacts.
"34003080001",1073642,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34003080001",1073642,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34003080001",1073642,NJ,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"34003503001",1073667,NJ,The project(s) is required to maintain compliance with a NPDES permit.
"34008215001",1073913,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"34009503001",1073965,NJ,The project(s) will prevent unregulated water quality or human health impacts.
"12000001049",1078121,FL,The project(s) is required to maintain compliance with a NPDES permit.
"12000001049",1078121,FL,The project(s) will prevent unregulated water quality or human health impacts.
"12000303001",1078410,FL,The project(s) is required to maintain compliance with a NPDES permit.
"39003815001",1081133,OH,The project(s) is required to maintain compliance with a NPDES permit.
"17000235001",1113512,IL,The project(s) is required to maintain compliance with a NPDES permit.
"17000235001",1113512,IL,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"17000366001",1113634,IL,The project(s) is necessary to obtain compliance with a new permit requirement.
"17000716001",1113990,IL,The project(s) is necessary to obtain compliance with a new permit requirement.
"17000721001",1113995,IL,The project(s) is required to maintain compliance with a NPDES permit.
"17000721001",1113995,IL,The project(s) is to increase capacity or improve treatment in advance of anticipated new permit requirements.
"17000721001",1113995,IL,The project(s) will prevent unregulated water quality or human health impacts.
"17000721001",1113995,IL,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"17007103001",1114292,IL,The project(s) is necessary to obtain compliance with a new permit requirement.
"17007709001",1114373,IL,The project(s) will prevent unregulated water quality or human health impacts.
"18000231001",1120149,IN,The project(s) will prevent unregulated water quality or human health impacts.
"18005835001",1120518,IN,The project(s) is required to maintain compliance with a NPDES permit.
"19000049001",1123496,IA,The project(s) is required to maintain compliance with a NPDES permit.
"19000049001",1123496,IA,The project(s) is necessary to obtain compliance with a new permit requirement.
"19000692001",1124058,IA,The project(s) is to achieve or maintain compliance with a TMDL.
"20000498001",1130301,KS,The project(s) will prevent unregulated water quality or human health impacts.
"29001045001",1133326,MO,The project(s) is required to maintain compliance with a NPDES permit.
"29001045001",1133326,MO,The project(s) is to achieve or maintain compliance with a TMDL.
"29001045001",1133326,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"29001131001",1133411,MO,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"29002041001",1133652,MO,The project(s) is necessary to obtain compliance with a new permit requirement.
"21000174001",1139615,KY,The project(s) will prevent unregulated water quality or human health impacts.
"21000357001",1139756,KY,The project(s) will prevent unregulated water quality or human health impacts.
"44000005001",1144287,RI,The project(s) will prevent unregulated water quality or human health impacts.
"31000170001",1145774,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31000170001",1145774,NE,The project(s) will prevent unregulated water quality or human health impacts.
"31000170001",1145774,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"31001638001",1145976,NE,The project(s) is required to maintain compliance with a NPDES permit.
"31001638001",1145976,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"31003010001",1146094,NE,The project(s) will prevent unregulated water quality or human health impacts.
"31003010001",1146094,NE,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"27000023001",1147915,MN,The project(s) is required to maintain compliance with a NPDES permit.
"37005202001",1153476,NC,The project(s) is required to maintain compliance with a NPDES permit.
"37005202001",1153476,NC,The project(s) will prevent unregulated water quality or human health impacts.
"37006406001",1153553,NC,The project(s) will prevent unregulated water quality or human health impacts.
"41000069001",1164331,OR,The project(s) is required to maintain compliance with a NPDES permit.
"47000535001",1166055,TN,The project(s) will prevent unregulated water quality or human health impacts.
"47000535001",1166055,TN,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"22000885001",1168239,LA,The project(s) is required to maintain compliance with a NPDES permit.
"49000022001",1170379,UT,The project(s) is required to maintain compliance with a NPDES permit.
"49000022001",1170379,UT,The project(s) will prevent unregulated water quality or human health impacts.
"40000554001",1172760,OK,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"06002041001",1175299,CA,The project(s) is required to maintain compliance with a NPDES permit.
"06003072001",1175440,CA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"06007022001",1175930,CA,The project(s) is required to maintain compliance with a NPDES permit.
"06008044001",1175998,CA,The project(s) will prevent unregulated water quality or human health impacts.
"46000013001",1179119,SD,The project(s) is required to maintain compliance with a NPDES permit.
"53000922005",1180866,WA,The project(s) is required to maintain compliance with a NPDES permit.
"51000207001",1192825,VA,The project(s) will prevent unregulated water quality or human health impacts.
"51000207001",1192825,VA,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"26000634003",1088615,MI,The project(s) will prevent unregulated water quality or human health impacts.
"50000150002",1094161,VT,"The project(s) improves water efficiency, improves energy efficiency, improves water conservation, addresses climate change, or improves resiliency."
"54002716001",1095017,WV,The project(s) is to achieve or maintain compliance with a TMDL.
"54002716001",1095017,WV,The project(s) will prevent unregulated water quality or human health impacts.
