DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,MECHANICAL_JOINT_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,PARTDNOTIFNOCALL,PARTDNOTIFOUTAREA,PARTDNOTIFPRIORSTART,PARTDNOTIFAFTEREXP,PARTDNOTIFINCINFO,PARTDNOTIFTOTAL,PARTDEXCAVTESTHOLE,PARTDEXCAVCLEARANCE,PARTDEXCAVPROTSHORE,PARTDEXCAVBACKFILL,PARTDMARKFADE,PARTDEXCAVNOTLISTED,PARTDEXCAVTOTAL,PARTDMISCDETER,PARTDMISCONECALL,PARTDMISCPREVDAMAGE,PARTDMISCROOTCAUSE,PARTDMISCTOTAL,PARTDLOCABANDON,PARTDLOCINCORMAP,PARTDLOCLOCERROR,PARTDLOCNORESP,PARTDLOCINCOMP,PARTDLOCTRACEWIRE,PARTDLOCUNLOCAT,PARTDLOCABANMARK,PARTDLOCMAPMARK,PARTDLOCLOCMARK,PARTDLOCTRACEMARK,PARTDLOCTOTAL,PARTDTOTDAMAGES,PARTDTOTTICKETS,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
5/1/2025,2024,20251380,73960,7090,HARRIMAN UTILITIES BOARD,200 N. Roane St,Harriman,Roane,TN,37748,200 N. ROANE STREET  P.O. BOX 434,HARRIMAN,,TN,37748,Natural Gas,TN,Municipal Owned,0,0,0,27.75,83.25,0,0,0,0,0,111,0,0,0,1687,2348,0,0,0,0,0,4035,0,19.75,4,4,0,0,27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.25,25,3,0,0,83.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,75,29,7,0,0,111,150,0,1679,5,2,1,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337,5,6,0,0,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4016,10,8,1,0,4035,0,0,0,23.75,7,1,0,56,15,8.25,0,111,0,0,0,870,938,179,121,1468,286,112,61,4035,1,,1,1,1,12,,,,,15,4,,1,,,,,,,,,,,,,,,,,,,2,,0,13.05,7,,,,2,9,,,,,,,,,,,,,,,,,,,,,,6,,6,15,2494,HUB is aware of the large percentage of unaccounted for gas leaks through 6/30/2024. In 2024 HUB installed AMI meters and we believe that the customer usage is understated. We are working to invoice the customer once we determine the correct usage.,Michael Lambert,Manager of Accounting,(865) 285-1046,(000) 000-0000,mlambert@hub-tn.com,INITIAL,3/31/2025,3/31/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250019,64702,7095,HARRISBURG WATER & GAS DIV,201 N MAIN ST,HARRISBURG,,AR,72432,102 CENTER ST,HARRISBURG,,AR,72432,Natural Gas,AR,Municipal Owned,,,,47.9,103,0,0,0,0,0,150.9,,,,1154,1046,0,0,0,0,0,2200,0,9,38.9,0,0,0,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,5.5,0,65.2,32.3,0,0,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,79.7,71.2,0,0,0,150.9,90,0,1127,25,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,66,1,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2106,91,1,0,0,2198,96.9,0,0,0,0,0,0,15.5,32.9,5.6,0,150.9,1450,0,0,0,0,0,0,191,412,152,0,2205,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,6,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,9,985,,Brayden Honeycutt,,(870) 578-5461,(870) 578-4113,MANAGER@HBGWATERGAS.COM,INITIAL,1/7/2025,1/7/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20251401,74280,7100,"HARRISONBURG, VILLAGE OF",P.O.BOX 658,HARRISONBURG,Catahoula,LA,71340,"P.O. BOX 658, 108 SICILY STREET",HARRISONBURG,,LA,71340,Natural Gas,LA,Municipal Owned,0,0,0,70,12,0,0,0,0,0,82,0,0,0,681,91,0,0,0,0,0,772,0,58,12,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,69,13,0,0,0,82,30,0,681,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,772,0,0,0,0,772,0,0,0,0,55,0,0,27,0,0,0,82,0,0,0,0,505,0,0,258,5,4,0,772,,,,,1,,,,,,1,8,3,8,,,,,,,1,,,,,,1,7,,,,,2,1,0,1.03,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,235,,Billy Franklin,Agent,(318) 744-5794,(318) 744-5381,villageofharrisonburg@yahoo.com,INITIAL,4/7/2025,4/7/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250874,71262,7110,HARTSELLE UTILITIES BOARD,1010 Sparkman Street NW,Hartselle,Morgan,AL,35640,1010 SPARKMAN STREET NW,HARTSELLE,,AL,35640,Natural Gas,AL,Municipal Owned,,,,12.01,218.06,2.19,0,0,0.36,0,232.62,,,,0,4579,0,0,0,60,0,4639,0,1.35,7.32,3.34,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,2.19,0,0,0,0,0,0,0,0,138.93,71.02,8.11,0,0,218.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0.36,Galvanized,0,0,0,0,0,0,0,0,140.64,80.53,11.45,0,0,232.62,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139,440,0,0,0,4579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,60,galvanized,0,0,0,0,0,0,0,0,4198,441,0,0,0,4639,0,0,0,14.86,9.91,29.73,44.59,59.46,44.59,17.54,11.94,232.62,0,0,0,142,251,321,489,997,1411,673,355,4639,0,0,3,0,1,0,0,0,0,0,16,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,2,,1,,,3,,5,,,,,5,,,,,,,,4,,,3,6,,,,,13,21,2261,"Part B-1-Other came down by two, we found two services that were marked as galvanized but after investigation, services were PE pipe.",Bo Cowart,Gas Systems Controller,(256) 773-3366,(000) 000-0000,bcowart@hartselleutilities.org,INITIAL,3/11/2025,3/11/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250319,67540,7120,HARTWELL GAS DEPT,1080 Elberton Hwy,Hartwell,Hart,GA,30643,456 E. HOWELL ST,HARTWELL,,GA,30643,Natural Gas,GA,Municipal Owned,0,0,0.67,36.3,155.81,0,0,0,0,0,192.78,0,0,0,670,2346,0,0,0,0,0,3016,0,14.42,2.38,20.17,0,0,36.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.33,59.52,2.96,0,0,155.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,107.75,61.9,23.13,0,0,192.78,150,0,626,42,2,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,130,7,0,0,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2835,172,9,0,0,3016,83.6,0,0,0,0,0,0,0,35.46,58.58,15.14,192.78,1636,0,0,0,0,0,0,0,412,742,226,3016,0,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,1,0,0,1,0,0,2.6,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5626,"This report prepared and submitted by Bruce Bagnasco PE, Municipal Gas Authority of Georgia, from information provided by Steve Sayer, City of Hartwell. City of Hartwell performed a study of it's distribution system and confirmed that the miles of steel mains had been reported incorrectly. This is the only changed made to the CY 2024 report.",Bruce Bagnasco PE,Senior Analyst - Engineer,(770) 519-3438,(000) 000-0000,bbagnasco@gasauthority.com,SUPPLEMENTAL,2/17/2025,2/20/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250392,67822,7125,HARVEYVILLE GAS DEPT,274 W OAK ST,HARVEYVILLE,Wabaunsee,KS,66431,"PO BOX 187, 274 W OAK",HARVEYVILLE,,KS,66431,Natural Gas,KS,Municipal Owned,0,0,3,6.8,2.2,0,0,0,0,0,12,0,0,0,128,12,0,0,0,0,0,140,0,3,6.8,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,8,0,0,0,12,30,0,0,128,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,2,138,0,0,0,140,0,0,0,0,9.8,0,0,0,2,0,0.2,12,0,0,0,0,125,0,0,2,8,2,3,140,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,,Roy Rickel,Operator,(785) 589-2440,(000) 000-0000,harveyvillesupt@gmail.com,INITIAL,2/24/2025,2/24/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250368,67681,7130,HASKELL PUBLIC WORKS AUTH,1424 N Haskell Blvd.,Haskell,Muskogee,OK,74436,P.O. BOX 9,HASKELL,,OK,74436,Natural Gas,OK,Municipal Owned,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0,1142,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25,10,0,0,0,35,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,50,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1092,50,0,0,0,1142,0,0,0,0,0,0,0,0,0,30,5,35,0,0,0,0,0,0,0,0,0,1033,109,1142,,,1,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,0,0,0,4.42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,558,,James Fagg,Natural Gas Supervisor,(918) 284-9983,(000) 000-0000,jfagg@townofhaskell.org,INITIAL,2/21/2025,2/21/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250598,69281,7135,HASTINGS UTILITIES,1228 N Denver,Hastings,,NE,68901,1228 NORTH DENVER,HASTINGS,,NE,68901,Natural Gas,NE,Municipal Owned,0,0,0,136,53.5,0,0,0,0,0,189.5,0,0,0,6319,3344,0,0,0,0,0,9663,0,69.5,34.5,29.5,2.5,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28.5,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,94.5,63,29.5,2.5,0,189.5,100,0,2934,3356,27,2,0,6319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3068,268,8,0,0,3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,6002,3624,35,2,0,9663,0,0,0,1,5,21,50.5,52.5,36,16.5,7,189.5,0,0,0,1423,1020,1297,1828,1376,1324,941,454,9663,,,,,,2,,,,,1,3,,,1,,,,,,,,,,,,1,2,,,1,,0,0,0,0,,,,1,,1,2,3,,,,,5,,,,,,,,,,,,,,,1,,1,7,4704,,Ed Fleharty,Underground Construction Supe,(402) 462-3640,(000) 000-0000,efleharty@cityofhastings.org,INITIAL,3/3/2025,3/3/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250053,65042,7155,"HAVANA, TOWN OF",711 North Main Street,Havana,Gadsden,FL,32333,711 NORTH MAIN STREET POST OFFICE BOX 1068,HAVANA,,FL,32333,Natural Gas,FL,Municipal Owned,0,0,0,14,3.07,0,0,0,0,0,17.07,0,0,0,1,475,0,0,0,0,0,476,0,8,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.12,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.95,7.12,0,0,0,17.07,110,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,1,3,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,471,1,3,0,0,475,0,0,0,14,0,0,1.95,0,0,1.12,0.13,17.2,0,0,0,2,7,8,20,77,239,99,23,475,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,342,,William Hays,,(229) 226-6569,(000) 000-0000,cityservicesinc@gmail.com,INITIAL,1/14/2025,1/14/2025,7100.1-1 (Rev. 06-2023)
5/1/2025,2024,20250398,67882,7165,"HAWARDEN GAS DEPT, CITY OF",1150 Central Ave,Hawarden,,IA,51023,1150 CENTRAL AVENUE,HAWARDEN,,IA,51023,Natural Gas,IA,Municipal Owned,,,,18,9,0,0,0,0,0,27,,,,778,434,0,0,0,0,0,1212,0,14,3,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,6,1,0,0,27,80,0,53,725,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,1,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,486,726,0,0,0,1212,18,0,0,0,0,0,0,0,0,7,2,27,1002,0,0,0,0,0,0,0,0,152,58,1212,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,341,,Travis Waterman,Public Works Director,(712) 551-2565,(712) 551-1117,travisw@cityofhawarden.com,INITIAL,2/24/2025,2/24/2025,7100.1-1 (Rev. 06-2023)
